Exception Archive
Fold  0
3 1011312_02_KH.txt 4 4 4 (118, 156) (118, 170) 118 118
4 1011352_02_KH.txt 5 5 5 (93, 156) (93, 170) 93 93
5 1011362_02_CM.txt 6 6 6 (143, 156) (143, 170) 143 143
6 1016322_02_CM.txt 7 7 7 (154, 156) (154, 170) 154 154
7 1017522_02_CM.txt 8 8 8 (71, 156) (71, 170) 71 71
8 1020132_02_KH.txt 9 9 9 (140, 156) (140, 170) 140 140
9 1021472_02_KH.txt 10 10 10 (156, 156) (156, 170) 156 156
10 1022442_02_CM.txt 11 11 11 (207, 156) (207, 170) 207 207
11 1023162_02_KH.txt 12 12 12 (162, 156) (162, 170) 162 162
12 1023382_02_CM.txt 13 13 13 (261, 156) (261, 170) 261 261
13 1024022_02_KH.txt 14 14 14 (178, 156) (178, 170) 178 178
14 1026122_02_KH.txt 15 15 15 (95, 156) (95, 170) 95 95
0 1047092_02_CM.txt 1 1 1 (66, 156) (66, 170) 66 66
1 1079252_02_KH.txt 2 2 2 (133, 156) (133, 170) 133 133
2 1026292_02_KH.txt 3 3 3 (131, 156) (131, 170) 131 131
3 1026592_02_CM.txt 4 4 4 (132, 156) (132, 170) 132 132
4 1008132_02_CM.txt 5 5 5 (154, 156) (154, 170) 154 154
5 1026192_02_CM.txt 6 6 6 (92, 156) (92, 170) 92 92
6 1032032_02_KH.txt 7 7 7 (275, 156) (275, 170) 275 275
8 1001252_02_CM.txt 8 8 8 (120, 156) (120, 170) 120 120
9 1071742_02_KH.txt 9 9 9 (93, 156) (93, 170) 93 93
10 1087502_02_CM.txt 10 10 10 (56, 156) (56, 170) 56 56
11 1057362_02_CM.txt 11 11 11 (72, 156) (72, 170) 72 72
12 1016192_02_CM.txt 12 12 12 (71, 156) (71, 170) 71 71
13 1026182_02_CM.txt 13 13 13 (128, 156) (128, 170) 128 128
14 1041482_02_KH.txt 14 14 14 (142, 156) (142, 170) 142 142
15 1036792_02_CM.txt 15 15 15 (194, 156) (194, 170) 194 194
16 1026392_02_CM.txt 16 16 16 (100, 156) (100, 170) 100 100
17 1049092_02_CM.txt 17 17 17 (197, 156) (197, 170) 197 197
18 1105682_02_CM.txt 18 18 18 (81, 156) (81, 170) 81 81
20 1047042_02_CM.txt 19 19 19 (105, 156) (105, 170) 105 105
